tag_id,tag_name
1,atmospheric
2,sci-fi
3,thought-provoking
4,suspense
5,visually appealing
6,twist ending
7,superhero
8,funny
9,time travel
10,action
11,dreamlike
12,surreal
13,mindfuck
14,quirky
15,psychology
16,psychological
17,emotional
18,dark comedy
19,aliens
20,comedy
21,Leonardo DiCaprio
22,classic
23,space
24,inspirational
25,crime
26,Disney
27,Quentin Tarantino
28,disturbing
29,dark
30,stylized
31,comic book
32,Mafia
33,cinematography
34,Magic
35,robots
36,romance
37,clever
38,violence
39,sequel
40,imdb top 250
41,great soundtrack
42,philosophy
43,heist
44,intelligent
45,humorous
46,bittersweet
47,cult film
48,revenge
49,tense
50,fun
51,Vietnam
52,drugs
53,adventure
54,mystery
55,mental illness
56,hallucinatory
57,gritty
58,touching
59,thriller
60,space opera
61,hit men
62,politics
63,religion
64,predictable
65,organized crime
66,philosophical
67,post-apocalyptic
68,plot holes
69,social commentary
70,assassin
71,fantasy
72,Action
73,Samuel L. Jackson
74,beautiful
75,cerebral
76,Stephen King
77,High School
78,Wizards
79,anime
80,archaeology
81,dystopia
82,alternate reality
83,Steve Buscemi
84,Tolkein
85,Tarantino
86,Pixar
87,creepy
88,corruption
89,drama
90,boxing
91,based on a book
92,classic sci-fi
93,black comedy
94,bad plot
95,artificial intelligence
96,Tom Hanks
97,animation
98,Mystery
99,Michael Cera
100,Brad Pitt
101,Al Pacino
102,smart
103,witty
104,unique
105,violent
106,soundtrack
107,love story
108,inspiring
109,music
110,intense
111,good dialogue
112,future
113,Christian Bale
114,Post apocalyptic
115,Holocaust
116,Martin Scorsese
117,sarcasm
118,ghosts
119,hitman
120,heartwarming
121,great acting
122,nonlinear
123,friendship
124,fantasy world
125,zombies
126,feel-good
127,ensemble cast
128,bloody
129,british comedy
130,characters
131,dark hero
132,darth vader
133,complicated
134,Jean Reno
135,Keanu Reeves
136,Hugh Jackman
137,Jared Leto
138,Highly quotable
139,Christopher Nolan
140,EPIC
141,Edward Norton
142,Bruce Willis
143,Arnold Schwarzenegger
144,Coen Brothers
145,awesome
146,bad script
147,based on a true story
148,beautiful scenery
149,big budget
150,assassination
151,artistic
152,apocalypse
153,Will Smith
154,Studio Ghibli
155,Will Ferrell
156,Tolkien
157,Visually stunning
158,Christoph Waltz
159,Myth
160,Michael Bay
161,Morgan Freeman
162,Ryan Reynolds
163,Robin Williams
164,Soundtrack
165,Star Wars
166,drug abuse
167,depressing
168,dialogue
169,dc comics
170,cult
171,notable soundtrack
172,morality
173,moving
174,martial arts
175,mafia
176,memory
177,jack nicholson
178,last man on earth
179,loneliness
180,long shots
181,luke skywalker
182,indiana jones
183,kidnapping
184,interesting
185,intellectual
186,graphic design
187,good soundtrack
188,existentialism
189,great dialogue
190,heartbreaking
191,guns
192,great ending
193,hilarious
194,holocaust
195,horror
196,hugh jackman
197,humor
198,enigmatic
199,non-linear
200,neo-noir
